Time,Channel A,Channel B
(us),(mV),(V)

-50.06597544,-131.16850000,-1.08325400
-50.01597544,-131.26010000,-0.96835230
-49.96597545,-131.77890000,-0.83513900
-49.91597545,-133.15230000,-0.71687980
-49.86597545,-128.28450000,-0.58427690
-49.81597545,-118.57970000,-0.47120580
-49.76597546,-106.43330000,-0.34028140
-49.71597546,-93.85966000,-0.22553180
-49.66597546,-84.41419000,-0.09247109
-49.61597547,-80.27894000,0.02502518
-49.56597547,-75.31968000,0.16113770
-49.51597547,-71.23020000,0.28138070
-49.46597548,-66.57613000,0.41764580
-49.41597548,-62.50190000,0.53559980
-49.36597548,-58.83968000,0.67018650
-49.31597548,-56.59657000,0.78707240
-49.26597549,-53.23954000,0.92059080
-49.21597549,-49.66887000,1.03671400
-49.16597549,-46.29657000,1.16702800
-49.11597550,-43.94665000,1.27811500
-49.06597550,-41.09317000,1.40492000
-49.01597550,-38.52962000,1.51478600
-48.96597551,-35.55406000,1.63686000
-48.91597551,-32.89895000,1.74001300
-48.86597551,-30.24384000,1.85735600
-48.81597551,-28.27540000,1.95913600
-48.76597552,-25.65080000,2.07129100
-48.71597552,-23.01095000,2.16528800
-48.66597552,-20.52369000,2.27164500
-48.61597553,-18.79940000,2.36350600
-48.56597553,-16.69362000,2.46223300
-48.51597553,-14.78622000,2.54265000
-48.46597554,-12.52785000,2.63252700
-48.41597554,-10.46785000,2.70836500
-48.36597554,-8.28577500,2.79259600
-48.31597554,-6.54622000,2.86401000
-48.26597555,-4.39466500,2.93984800
-48.21597555,-2.42622100,3.00088500
-48.16597555,-0.04577776,3.06588900
-48.11597556,1.43437000,3.11838100
-48.06597556,10.04059000,3.17041500
-48.01597556,23.11777000,3.20856400
-47.96597556,42.81747000,3.24716900
-47.91597557,66.36250000,3.27524600
-47.86597557,76.52515000,3.30896900
-47.81597557,70.51302000,3.33994600
-47.76597558,73.50382000,3.36603900
-47.71597558,83.78856000,3.38114600
-47.66597558,88.21375000,3.39533700
-47.61597559,85.87908000,3.40495000
-47.56597559,88.93093000,3.40937500
-47.51597559,96.37745000,3.40739200
-47.46597559,100.34490000,3.40205100
-47.41597560,100.05490000,3.39457400
-47.36597560,102.86260000,3.37946700
-47.31597560,107.89820000,3.36054600
-47.26597561,111.17890000,3.33353700
-47.21597561,111.97240000,3.30515500
-47.16597561,114.81060000,3.26822700
-47.11597562,118.91540000,3.23175800
-47.06597562,121.93670000,3.18552200
-47.01597562,123.15740000,3.14127000
-46.96597562,125.66000000,3.08511600
-46.91597563,128.74230000,3.03155600
-46.86597563,131.27540000,2.96563600
-46.81597563,132.63340000,2.90414100
-46.76597564,134.83080000,2.82967600
-46.71597564,137.28750000,2.76116200
-46.66597564,139.28650000,2.67815200
-46.61597564,140.30880000,2.60200800
-46.56597565,141.98740000,2.51030000
-46.51597565,143.83370000,2.42637400
-46.46597565,145.40540000,2.32764700
-46.41597566,146.30570000,2.23914300
-46.36597566,147.63330000,2.13324400
-46.31597566,149.02190000,2.03711100
-46.26597567,150.33420000,1.92495500
-46.21597567,151.29550000,1.82546500
-46.16597567,152.02790000,1.70720500
-46.11597567,152.28740000,1.60008500
-46.06597568,152.89770000,1.47755400
-46.01597568,153.72170000,1.37058600
-45.96597568,154.04220000,1.24393400
-45.91597569,153.76750000,1.12964300
-45.86597569,153.69120000,0.99795530
-45.81597569,153.79800000,0.88229010
-45.76597570,153.59970000,0.74816130
-45.71597570,153.18770000,0.63005470
-45.66597570,152.53150000,0.49394210
-45.61597570,151.72280000,0.37430950
-45.56597571,150.95980000,0.23743400
-45.51597571,150.44100000,0.11810660
-45.46597571,149.29650000,-0.01953185
-45.41597572,147.83160000,-0.14053770
-45.36597572,146.51930000,-0.27756580
-45.31597572,145.71060000,-0.39551990
-45.26597573,144.07790000,-0.53132720
-45.21597573,142.00260000,-0.65065460
-45.16597573,139.98840000,-0.78539380
-45.11597573,138.52350000,-0.90136410
-45.06597574,136.31090000,-1.03305100
-45.01597574,133.94570000,-1.14703800
-44.96597574,131.38220000,-1.27536800
-44.91597575,129.27640000,-1.38554000
-44.86597575,126.62130000,-1.50914000
-44.81597575,124.11880000,-1.61442900
-44.76597575,121.06690000,-1.73375700
-44.71597576,118.24400000,-1.83706200
-44.66597576,115.08530000,-1.95028500
-44.61597576,112.41490000,-2.04474000
-44.56597577,109.02740000,-2.15201300
-44.51597577,105.77710000,-2.24494100
-44.46597577,102.34380000,-2.34550000
-44.41597578,99.61241000,-2.42851000
-44.36597578,96.02648000,-2.52067600
-44.31597578,92.48634000,-2.59834600
-44.26597578,88.61049000,-2.68364500
-44.21597579,85.34501000,-2.75475300
-44.16597579,81.30131000,-2.83257600
-44.11597579,77.48649000,-2.89773200
-44.06597580,73.35123000,-2.96578900
-44.01597580,69.90264000,-3.01995900
-43.96597580,65.81316000,-3.07718100
-43.91597581,62.18146000,-3.12234900
-43.86597581,57.71050000,-3.17041500
-43.81597581,53.48368000,-3.20902100
-43.76597581,49.08902000,-3.24839000
-43.71597582,45.60991000,-3.27875600
-43.66597582,41.30680000,-3.30774900
-43.61597582,37.29362000,-3.32819600
-43.56597583,32.82265000,-3.34604900
-43.51597583,29.02310000,-3.35673100
-43.46597583,24.52162000,-3.36420800
-43.41597583,20.44740000,-3.36649700
-43.36597584,15.99170000,-3.36436100
-43.31597584,12.23792000,-3.35825700
-43.26597584,8.10266400,-3.34528600
-43.21597585,4.71510900,-3.32865400
-43.16597585,0.56459240,-3.30439200
-43.11597585,-3.26548000,-3.27860400
-43.06597586,-7.79747900,-3.24503300
-43.01597586,-11.99377000,-3.21222600
-42.96597586,-16.03748000,-3.16904200
-42.91597586,-18.87570000,-3.12616300
-42.86597587,-22.50740000,-3.07229800
-42.81597587,-25.95599000,-3.02072200
-42.76597587,-29.78606000,-2.95693800
-42.71597588,-33.06680000,-2.89681700
-42.66597588,-36.97317000,-2.82494600
-42.61597588,-40.62014000,-2.75963600
-42.56597589,-43.88562000,-2.67922000
-42.51597589,-45.89983000,-2.60414400
-42.46597589,-48.96695000,-2.51426700
-42.41597589,-52.26294000,-2.43217300
-42.36597590,-55.45213000,-2.33497100
-42.31597590,-57.78679000,-2.24753600
-42.26597590,-60.51820000,-2.14346700
-42.21597591,-62.89865000,-2.04947000
-42.16597591,-65.49271000,-1.93899300
-42.11597591,-67.65953000,-1.84011400
-42.06597592,-69.78057000,-1.72307500
-42.01597592,-71.26072000,-1.61732800
-41.96597592,-73.29019000,-1.49540700
-41.91597592,-75.38071000,-1.38828700
-41.86597593,-77.08975000,-1.26178800
-41.81597593,-78.02057000,-1.14810600
-41.76597593,-79.28709000,-1.01748700
-41.71597594,-80.55360000,-0.90319530
-41.66597594,-81.68279000,-0.76937160
-41.61597594,-82.39997000,-0.65004430
-41.56597594,-83.30026000,-0.51332130
-41.51597595,-84.15479000,-0.39384140
-41.46597595,-84.78041000,-0.25696580
-41.41597595,-85.03982000,-0.13763850
-41.36597596,-85.22293000,0.00015259
-41.31597596,-85.25345000,0.12146370
-41.26597596,-85.28397000,0.25894950
-41.21597597,-85.32975000,0.37766660
-41.16597597,-84.90249000,0.51545760
-41.11597597,-84.07848000,0.63753160
-41.06597597,-83.57493000,0.77333900
-41.01597598,-83.49863000,0.88854640
-40.96597598,-82.76619000,1.02099700
-40.91597598,-81.54546000,1.13696700
-40.86597599,-80.41627000,1.26697600
-40.81597599,-79.63805000,1.37806300
-40.76597599,-78.27998000,1.50349400
-40.71597600,-76.67775000,1.61122500
-40.66597600,-74.96871000,1.73314600
-40.61597600,-73.54960000,1.83828200
-40.56597600,-71.81005000,1.95425300
-40.51597601,-70.22309000,2.05175900
-40.46597601,-68.08679000,2.16162600
-40.41597601,-65.93523000,2.25592800
-40.36597602,-63.67687000,2.35938600
-40.31597602,-61.93731000,2.44544800
-40.26597602,-59.48057000,2.54158100
-40.21597602,-56.94754000,2.62291300
-40.16597603,-54.41450000,2.71111200
-40.11597603,-52.58339000,2.78359300
-40.06597603,-49.88250000,2.86370400
-40.01597604,-47.01376000,2.93099800
-39.96597604,-44.03821000,3.00241100
-39.91597604,-41.64250000,3.06009100
-39.86597605,-38.75851000,3.12112800
-39.81597605,-36.16443000,3.16980500
-39.76597605,-32.95999000,3.22214400
-39.71597605,-29.92340000,3.26487000
-39.66597606,-26.70370000,3.30820600
-39.61597606,-24.12488000,3.34116600
-39.56597606,-20.96622000,3.37351600
-39.51597607,-18.06696000,3.39671000
-39.46597607,-14.77096000,3.41807300
-39.41597607,-11.88696000,3.43180600
-39.36597608,-8.65199800,3.44309800
-39.31597608,-5.89007200,3.44874400
-39.26597608,-2.59407300,3.45072800
-39.21597608,0.44251840,3.44889700
-39.16597609,3.58592500,3.43974100
-39.11597609,6.04266500,3.42570300
-39.06597609,9.26236700,3.40540800
-39.01597610,12.45155000,3.38389200
-38.96597610,15.54918000,3.35413700
-38.91597610,17.77703000,3.32361800
-38.86597611,20.70681000,3.28394400
-38.81597611,23.57555000,3.24503300
-38.76597611,26.42903000,3.19483000
-38.71597611,28.55006000,3.14584800
-38.66597612,31.23569000,3.08603200
-38.61597612,33.79925000,3.03033500
-38.56597612,36.42384000,2.96182100
-38.51597613,38.48384000,2.89773200
-38.46597613,40.69643000,2.81975800
-38.41597613,42.45124000,2.74773400
-38.36597613,44.67910000,2.66136700
-38.31597614,46.83065000,2.58262900
-38.26597614,48.81435000,2.48802100
-38.21597614,50.12665000,2.40165400
-38.16597615,51.91198000,2.29987500
-38.11597615,53.74309000,2.20862500
-38.06597615,55.34531000,2.10058900
-38.01597616,56.36768000,2.00338700
-37.96597616,57.52739000,1.88833300
-37.91597616,58.50398000,1.78472200
-37.86597616,59.51109000,1.66463200
-37.81597617,60.28931000,1.55827500
-37.76597617,60.96072000,1.43406500
-37.71597617,61.32694000,1.32358800
-37.66597618,61.73894000,1.19556300
-37.61597618,62.10516000,1.08249200
-37.56597618,62.15094000,0.95004120
-37.51597619,61.84576000,0.83178200
-37.46597619,61.83050000,0.69689020
-37.41597619,62.10516000,0.57985170
-37.36597619,61.81524000,0.44343390
-37.31597620,61.03701000,0.32242800
-37.26597620,60.21301000,0.18433180
-37.21597620,59.52635000,0.06439406
-37.16597621,58.61079000,-0.07263406
-37.11597621,57.74102000,-0.19150360
-37.06597621,56.39820000,-0.32898950
-37.01597621,54.90280000,-0.45045320
-36.96597622,53.49894000,-0.58595540
-36.91597622,52.58339000,-0.70146790
-36.86597622,50.76754000,-0.83452860
-36.81597623,48.49391000,-0.95141450
-36.76597623,46.43391000,-1.08249200
-36.71597623,45.10636000,-1.19418900
-36.66597624,42.93954000,-1.32145100
-36.61597624,40.51332000,-1.43162300
-36.56597624,37.91925000,-1.55415500
-36.51597624,35.75243000,-1.65776500
-36.46597625,33.00576000,-1.77419400
-36.41597625,30.36592000,-1.87368400
-36.36597625,27.17673000,-1.98568700
-36.31597626,24.17066000,-2.08212500
-36.26597626,20.96622000,-2.18741400
-36.21597626,18.40266000,-2.27500200
-36.16597627,14.99985000,-2.37266200
-36.11597627,11.62755000,-2.45536700
-36.06597627,7.99584900,-2.54554900
-36.01597627,5.02029500,-2.62016700
-35.96597628,1.15970300,-2.70256700
-35.91597628,-2.60933200,-2.77214900
-35.86597628,-6.54622000,-2.84630900
-35.81597629,-9.68962700,-2.90673500
-35.76597629,-13.42814000,-2.97067200
-35.71597629,-16.75466000,-3.02209500
-35.66597630,-20.78310000,-3.07626600
-35.61597630,-24.49110000,-3.11883900
-35.56597630,-28.73318000,-3.16446400
-35.51597630,-32.44117000,-3.20123900
-35.46597631,-36.65273000,-3.23755600
-35.41597631,-40.29969000,-3.26441200
-35.36597631,-44.37391000,-3.28882700
-35.31597632,-47.82250000,-3.30484900
-35.26597632,-52.00354000,-3.31873500
-35.21597632,-55.86413000,-3.32712800
-35.16597632,-59.98413000,-3.33155300
-35.11597633,-63.28012000,-3.33109500
-35.06597633,-67.32383000,-3.32499200
-35.01597633,-71.07761000,-3.31507300
-34.96597634,-75.04501000,-3.29813500
-34.91597634,-78.23419000,-3.27829800
-34.86597634,-81.98797000,-3.25113700
-34.81597635,-85.40604000,-3.22321200
-34.76597635,-88.74783000,-3.18628500
-34.71597635,-92.12011000,-3.14951000
-34.66597635,-86.30634000,-3.10663200
-34.61597636,-72.31360000,-3.06878900
-34.56597636,-61.63213000,-3.01751800
-34.51597636,-55.87939000,-2.96594100
-34.46597637,-50.35554000,-2.90353100
-34.41597637,-46.72383000,-2.84585100
-34.36597637,-43.88562000,-2.77337000
-34.31597638,-42.86324000,-2.70455000
-34.26597638,-40.43702000,-2.62306600
-34.21597638,-37.30888000,-2.54951600
-34.16597638,-34.89791000,-2.45963900
-34.11597639,-33.75347000,-2.37647600
-34.06597639,-32.01391000,-2.27866500
-34.01597639,-30.22858000,-2.19138100
